id,invoice_id,action_type,status,timestamp,metadata_json
32,CSV-DEMO-008,AI_GENERATION_ATTEMPT,SUCCESS,2026-05-10T18:02:06.123552,"{""model_name"":""gemini-2.5-flash-lite"",""prompt_version"":""v1.1"",""stage_prompt_name"":""stage_1.txt"",""latency_ms"":2074,""tone_consistent"":true,""output_complete"":true}"
31,CSV-DEMO-008,AI_GENERATION_ATTEMPT,STARTED,2026-05-10T18:02:04.059942,"{""model_name"":""gemini-2.5-flash-lite"",""prompt_version"":""v1.1"",""stage_prompt_name"":""stage_1.txt""}"
30,CSV-DEMO-008,ESCALATION_STAGE_UPDATE,SUCCESS,2026-05-10T18:01:52.777653,"{""previous_stage"":""STAGE_2"",""new_stage"":""STAGE_1"",""overdue_days"":7}"
29,CSV-DEMO-012,ESCALATION_STAGE_UPDATE,SUCCESS,2026-05-10T18:01:52.746437,"{""previous_stage"":""STAGE_3"",""new_stage"":""STAGE_2"",""overdue_days"":12}"
28,CSV-DEMO-007,ESCALATION_STAGE_UPDATE,SUCCESS,2026-05-10T18:01:52.710936,"{""previous_stage"":""LEGAL_ESCALATION"",""new_stage"":""STAGE_4"",""overdue_days"":28}"
27,CSV-DEMO-010,ESCALATION_STAGE_UPDATE,SUCCESS,2026-05-10T18:01:52.677341,"{""previous_stage"":""LEGAL_ESCALATION"",""new_stage"":""STAGE_4"",""overdue_days"":30}"
26,CSV-DEMO-002,DELIVERY_REGENERATE,SUCCESS,2026-05-10T18:00:55.286271,"{""delivery_mode"":""DRY_RUN""}"
25,CSV-DEMO-002,AI_GENERATION_ATTEMPT,SUCCESS,2026-05-10T18:00:55.255768,"{""model_name"":""gemini-2.5-flash-lite"",""prompt_version"":""v1.1"",""stage_prompt_name"":""stage_2.txt"",""latency_ms"":2871,""tone_consistent"":true,""output_complete"":true}"
24,CSV-DEMO-002,DELIVERY_APPROVAL,APPROVED,2026-05-10T18:00:54.655765,"{""delivery_mode"":""DRY_RUN""}"
23,CSV-DEMO-002,AI_GENERATION_ATTEMPT,STARTED,2026-05-10T18:00:52.386585,"{""model_name"":""gemini-2.5-flash-lite"",""prompt_version"":""v1.1"",""stage_prompt_name"":""stage_2.txt""}"
22,CSV-DEMO-012,DELIVERY_APPROVAL,APPROVED,2026-05-10T18:00:37.296239,"{""delivery_mode"":""DRY_RUN""}"
21,CSV-DEMO-012,DELIVERY_APPROVAL,APPROVED,2026-05-10T18:00:35.483530,"{""delivery_mode"":""DRY_RUN""}"
20,CSV-DEMO-012,DELIVERY_APPROVAL,APPROVED,2026-05-10T18:00:33.334952,"{""delivery_mode"":""DRY_RUN""}"
19,CSV-DEMO-012,DELIVERY_APPROVAL,APPROVED,2026-05-10T18:00:31.143818,"{""delivery_mode"":""DRY_RUN""}"
18,CSV-DEMO-008,AI_GENERATION_ATTEMPT,SUCCESS,2026-05-10T17:58:24.238855,"{""model_name"":""gemini-2.5-flash-lite"",""prompt_version"":""v1.1"",""stage_prompt_name"":""stage_2.txt"",""latency_ms"":1436,""tone_consistent"":true,""output_complete"":true}"
17,CSV-DEMO-008,AI_GENERATION_ATTEMPT,STARTED,2026-05-10T17:58:22.800338,"{""model_name"":""gemini-2.5-flash-lite"",""prompt_version"":""v1.1"",""stage_prompt_name"":""stage_2.txt""}"
16,CSV-DEMO-007,AI_GENERATION_ATTEMPT,REJECTED_VALIDATION,2026-05-10T17:58:17.535570,"{""prompt_version"":""v1.1"",""stage_prompt_name"":""legal_escalation.txt"",""issues"":[{""code"":""amount_mismatch"",""message"":""amount_due missing from output body"",""severity"":""error""}]}"
15,CSV-DEMO-007,AI_GENERATION_ATTEMPT,STARTED,2026-05-10T17:58:14.419728,"{""model_name"":""gemini-2.5-flash-lite"",""prompt_version"":""v1.1"",""stage_prompt_name"":""legal_escalation.txt""}"
14,CSV-DEMO-002,AI_GENERATION_ATTEMPT,SUCCESS,2026-05-10T17:57:29.056969,"{""model_name"":""gemini-2.5-flash-lite"",""prompt_version"":""v1.1"",""stage_prompt_name"":""stage_2.txt"",""latency_ms"":1669,""tone_consistent"":true,""output_complete"":true}"
13,CSV-DEMO-002,AI_GENERATION_ATTEMPT,STARTED,2026-05-10T17:57:27.408949,"{""model_name"":""gemini-2.5-flash-lite"",""prompt_version"":""v1.1"",""stage_prompt_name"":""stage_2.txt""}"
12,CSV-DEMO-009,AI_GENERATION_ATTEMPT,SUCCESS,2026-05-10T17:56:31.504851,"{""model_name"":""gemini-2.5-flash-lite"",""prompt_version"":""v1.1"",""stage_prompt_name"":""stage_3.txt"",""latency_ms"":2171,""tone_consistent"":true,""output_complete"":true}"
11,CSV-DEMO-009,AI_GENERATION_ATTEMPT,STARTED,2026-05-10T17:56:29.361537,"{""model_name"":""gemini-2.5-flash-lite"",""prompt_version"":""v1.1"",""stage_prompt_name"":""stage_3.txt""}"
10,CSV-DEMO-007,AI_GENERATION_ATTEMPT,REJECTED_VALIDATION,2026-05-10T17:56:25.010629,"{""prompt_version"":""v1.1"",""stage_prompt_name"":""legal_escalation.txt"",""issues"":[{""code"":""amount_mismatch"",""message"":""amount_due missing from output body"",""severity"":""error""}]}"
